chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
-0.162#0.208#-0.004#-0.965,0.114#0.057#0.166#-0.978,0.455#0.058#-0.197#-0.866,0.311#0.353#-0.218#-0.855,0.736#0.605#0.286#-0.099,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.162#0.208#-0.004#-0.965,0.114#0.057#0.166#-0.978,0.457#0.058#-0.198#-0.865,0.311#0.353#-0.218#-0.855,0.736#0.605#0.286#-0.099,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.162#0.208#-0.004#-0.965,0.114#0.057#0.166#-0.978,0.457#0.058#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.736#0.605#0.286#-0.099,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.162#0.208#-0.004#-0.965,0.115#0.057#0.165#-0.978,0.457#0.058#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.736#0.605#0.286#-0.099,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.162#0.208#-0.004#-0.965,0.115#0.057#0.165#-0.978,0.457#0.058#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.604#0.287#-0.098,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.162#0.208#-0.004#-0.965,0.116#0.057#0.165#-0.978,0.457#0.058#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.604#0.287#-0.098,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.162#0.208#-0.004#-0.965,0.116#0.057#0.165#-0.978,0.457#0.058#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.604#0.287#-0.098,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.116#0.057#0.165#-0.978,0.457#0.058#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.605#0.287#-0.097,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.116#0.057#0.165#-0.978,0.457#0.057#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.605#0.287#-0.097,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.116#0.057#0.165#-0.978,0.457#0.057#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.605#0.287#-0.097,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.115#0.057#0.165#-0.978,0.457#0.057#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.605#0.287#-0.097,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.115#0.057#0.165#-0.978,0.457#0.057#-0.198#-0.865,0.312#0.349#-0.219#-0.856,0.737#0.605#0.286#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.115#0.057#0.165#-0.978,0.456#0.059#-0.198#-0.866,0.312#0.349#-0.219#-0.856,0.737#0.605#0.286#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.115#0.057#0.165#-0.978,0.456#0.059#-0.198#-0.866,0.311#0.348#-0.22#-0.857,0.737#0.605#0.286#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.114#0.059#0.164#-0.978,0.456#0.059#-0.198#-0.866,0.311#0.348#-0.22#-0.857,0.737#0.605#0.286#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.208#-0.005#-0.965,0.114#0.059#0.164#-0.978,0.456#0.059#-0.198#-0.866,0.311#0.348#-0.22#-0.857,0.736#0.605#0.288#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.114#0.059#0.164#-0.978,0.456#0.059#-0.198#-0.866,0.311#0.348#-0.22#-0.857,0.736#0.605#0.288#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.114#0.059#0.164#-0.978,0.455#0.06#-0.198#-0.866,0.311#0.348#-0.22#-0.857,0.736#0.605#0.288#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.114#0.059#0.164#-0.978,0.455#0.06#-0.198#-0.866,0.311#0.347#-0.22#-0.857,0.736#0.605#0.288#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.113#0.06#0.165#-0.978,0.455#0.06#-0.198#-0.866,0.311#0.347#-0.22#-0.857,0.736#0.605#0.288#-0.094,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.113#0.06#0.165#-0.978,0.455#0.06#-0.198#-0.866,0.311#0.347#-0.22#-0.857,0.736#0.605#0.29#-0.092,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.113#0.06#0.165#-0.978,0.454#0.06#-0.197#-0.867,0.311#0.347#-0.22#-0.857,0.736#0.605#0.29#-0.092,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.113#0.06#0.165#-0.978,0.454#0.06#-0.197#-0.867,0.311#0.347#-0.22#-0.857,0.736#0.605#0.29#-0.092,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.112#0.06#0.165#-0.978,0.454#0.06#-0.197#-0.867,0.31#0.348#-0.22#-0.857,0.736#0.605#0.29#-0.092,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.161#0.209#-0.006#-0.965,0.112#0.06#0.165#-0.978,0.454#0.06#-0.197#-0.867,0.31#0.348#-0.22#-0.857,0.736#0.605#0.29#-0.092,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
